Id,NetsuiteId__c,Status__c
a04IV00000rHNXGYA4,20206,Paid In Full
a04IV00000rHNXHYA4,19768,Open
a04IV00000rHNXAYA4,20274,Paid In Full
a04IV00000rHNV7YAO,20669,Paid In Full
a04IV00000rHNWgYAO,20537,Paid In Full
a04IV00000rHNXLYA4,20259,Paid In Full
a04IV00000rHNXNYA4,20557,Open
a04IV00000rHNX1YAO,20044,Paid In Full
a04IV00000rHNXBYA4,20228,Open
a04IV00000rHNXPYA4,20186,Open
a04IV00000rHNXQYA4,20247,Paid In Full
a04IV00000rHNWxYAO,20155,Paid In Full
a04IV00000rHNUeYAO,20352,Paid In Full
a04IV00000rHNV0YAO,20106,Paid In Full
a04IV00000rHNXTYA4,20268,Paid In Full
a04IV00000rHNWwYAO,21056,Paid In Full
a04IV00000rHNXUYA4,20627,Paid In Full
